"","model1_ASC_t","model1_DES_t","model2_ASC_t","model2_DES_t","model3_ASC_t","model3_DES_t","model4_ASC_t","model4_DES_t","model1_ASC_P","model1_DES_P","model2_ASC_P","model2_DES_P","model3_ASC_P","model3_DES_P","model4_ASC_P","model4_DES_P","model1_ASC_FDR","model1_DES_FDR","model2_ASC_FDR","model2_DES_FDR","model3_ASC_FDR","model3_DES_FDR","model4_ASC_FDR","model4_DES_FDR"
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Lactobacillales--f__Lactobacillaceae--g__Lactobacillus",-0.848702436538984,-1.06312745187616,-0.919744957929527,-1.07475854149441,-0.531451849653738,-0.89193819295132,-0.649066938843219,-1.06237091583673,0.397206311457617,0.289197377417586,0.358994147126845,0.28399700706512,0.595820433959803,0.373732856773741,0.517243466792841,0.289709168179262,0.85926263294913,0.652232383112002,0.736517024427978,0.583925429640771,0.948775914096762,0.69312206661443,0.942134803241546,0.648785320288771
"d__Bacteria--p__Actinobacteria--c__Actinobacteria--o__Corynebacteriales",0.62449007367393,-1.04846652699035,0.476479151885521,-0.935554024738513,0.400154928679144,-1.01017249763798,0.321131776400016,-1.18331266863032,0.533119100430076,0.295877857818655,0.634337795027142,0.35082216717489,0.689559993030962,0.313900726665067,0.748537618868115,0.238485376588376,0.903703808335603,0.652529342967408,0.916503932531156,0.656529386387359,0.948775914096762,0.678745012918447,0.967645755779073,0.609038399641487
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Anaerostipes",-1.39004596342919,-1.0215923154098,-1.79941155894981,-1.34286298250349,-1.14327263248296,-0.598238806848507,-0.926105145146406,-0.581761237808565,0.166280488373638,0.308392155322355,0.0737064799244561,0.181096076849365,0.254581472641222,0.550505892985317,0.355812729244125,0.561567247576716,0.558868494282354,0.667134050289176,0.510302265752177,0.492358125838216,0.900357450465496,0.784475665170311,0.917647270504774,0.79220213172733
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Anaerostipes--__",-1.39004596342919,-1.0215923154098,-1.79941155894981,-1.34286298250349,-1.14327263248296,-0.598238806848507,-0.926105145146406,-0.581761237808565,0.166280488373638,0.308392155322355,0.0737064799244561,0.181096076849365,0.254581472641222,0.550505892985317,0.355812729244125,0.561567247576716,0.558868494282354,0.667134050289176,0.510302265752177,0.492358125838216,0.900357450465496,0.784475665170311,0.917647270504774,0.79220213172733
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Ruminococcaceae--g__Subdoligranulum",-0.327405856423828,-1.0082926456252,-0.484401801218478,-1.07713885683682,0.0524844945254171,-0.619468077924061,0.28908272234032,-0.413969059178383,0.743752260988107,0.314714085226018,0.628716994387446,0.282935463710351,0.95820613785064,0.536467689252367,0.77289944015058,0.67946535975607,0.942180384632749,0.67386270287209,0.916503932531156,0.583925429640771,0.982120528283542,0.784475665170311,0.967645755779073,0.85932442808089
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Ruminococcaceae--g__Subdoligranulum--__",-0.308008053887992,-0.998017767456844,-0.467995056274867,-1.06927242635186,0.0891193243114135,-0.603530817739712,0.344622566501995,-0.391389641667395,0.75844249785979,0.319656626816594,0.640380589502797,0.286453984352076,0.929095159995554,0.546989451988823,0.730839340033083,0.696043324003613,0.942180384632749,0.677672048851179,0.916503932531156,0.583925429640771,0.982120528283542,0.784475665170311,0.967645755779073,0.864616316535737
"d__Bacteria--p__Firmicutes",-0.578105286179609,-0.941435783145627,-1.22454824210304,-1.40962395184261,-0.173789285005111,-0.521456517300894,-0.173634454137737,-0.653860015990597,0.563936201440798,0.347786779617876,0.222419990334034,0.160466862631238,0.862244097508795,0.602752261329905,0.862376425792455,0.51416468121705,0.914957714582519,0.718829168449069,0.624334955169324,0.481851724961234,0.972317812084386,0.811922256048907,0.974817410519871,0.750485280044071
"d__Bacteria--p__Proteobacteria--c__Deltaproteobacteria--o__Desulfovibrionales--f__Desulfovibrionaceae--g__Bilophila--s__uncultured_delta_proteobacterium",-0.181795600303719,-0.939559445330654,-0.263478288581994,-1.02345358509095,-0.136220196847338,-0.964187296909728,-0.335497129886345,-0.974040545706086,0.855953539546162,0.34874604347943,0.792497336893681,0.30753910408084,0.891813266256711,0.336371607817249,0.737697997762809,0.331544352340053,0.993059764925697,0.718829168449069,0.948574476450967,0.618971108213336,0.981303178787661,0.678745012918447,0.967645755779073,0.69210451681724
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Marinifilaceae--g__Odoribacter--s__gut_metagenome",-0.149339702158693,-0.928414359770224,-0.313574954086589,-0.909193433355063,-0.642995838202538,-1.08152143474006,-1.23053456218469,-1.69561156682647,0.881457552274277,0.354478782342271,0.754223838194945,0.364527696974245,0.521119351528583,0.281052974150952,0.220337446731349,0.091954349484695,0.993059764925697,0.718829168449069,0.948574476450967,0.656529386387359,0.948775914096762,0.663026878237941,0.837768464465457,0.454326589069089
"d__Bacteria--p__Proteobacteria--c__Deltaproteobacteria--o__Desulfovibrionales",-0.447076262196342,-0.925610871391992,-0.282058253299351,-0.955689155652875,0.02194093956884,-0.994225283778102,-0.134815467222086,-0.943032883257977,0.655372824224396,0.355930219726901,0.7782379392385,0.340578412765376,0.982521578450379,0.32157785832786,0.892930456775277,0.347122244095169,0.921405310748654,0.718829168449069,0.948574476450967,0.656387486420543,0.982521578450379,0.678745012918447,0.974817410519871,0.69210451681724
"d__Bacteria--p__Proteobacteria--c__Deltaproteobacteria--o__Desulfovibrionales--f__Desulfovibrionaceae",-0.447076262196342,-0.925610871391992,-0.282058253299351,-0.955689155652875,0.02194093956884,-0.994225283778102,-0.134815467222086,-0.943032883257977,0.655372824224396,0.355930219726901,0.7782379392385,0.340578412765376,0.982521578450379,0.32157785832786,0.892930456775277,0.347122244095169,0.921405310748654,0.718829168449069,0.948574476450967,0.656387486420543,0.982521578450379,0.678745012918447,0.974817410519871,0.69210451681724
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Rikenellaceae--g__Alistipes",0.490048275010532,-0.923252532089882,0.162928755293412,-1.30328872748477,0.400325087203722,-0.881541807423286,-0.146746903994024,-1.41657220890931,0.624713535144244,0.357154115141361,0.870765796606806,0.194228278956495,0.689434922023829,0.37931479229496,0.883520061532897,0.158601827722128,0.917245860079151,0.718829168449069,0.971593788948506,0.49536688124211,0.948775914096762,0.69312206661443,0.974817410519871,0.550519353941175
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Flavobacteriales",-0.765483412643317,-0.917247158781951,-0.777944606940893,-0.78984863521534,-0.814576405285252,-1.0283372609054,-0.583100888156683,-0.557819699445672,0.445014898043137,0.360282747225056,0.43767045596163,0.43071006921516,0.416488938395398,0.305305479991446,0.560662016104303,0.577767123471725,0.878882403567745,0.719903035081144,0.810534707261867,0.698921851691547,0.948775914096762,0.678745012918447,0.942134803241546,0.800751702537585
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Rikenellaceae--g__Alistipes--__",0.48311415772697,-0.908968419514406,0.157172397602544,-1.28962411689726,0.389057913072803,-0.859786223045761,-0.154861164172315,-1.39787574064081,0.629618538027781,0.364624094230926,0.875293329356626,0.198922698592918,0.697734932683802,0.391161970742017,0.877129679142198,0.164134882889378,0.917245860079151,0.719903035081144,0.971593788948506,0.498089906712977,0.948775914096762,0.706277737304908,0.974817410519871,0.556082752184191
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Coprococcus_1",0.307952317225908,-0.904950231991923,0.278147385577428,-0.971416318492719,0.906974624322469,-0.0386579686809809,0.961025367195332,-0.187470600182693,0.758484837943345,0.366743055607375,0.781233303891213,0.332713065093048,0.365742861928755,0.969210102597586,0.338017155155401,0.85153528460619,0.942180384632749,0.719903035081144,0.948574476450967,0.649096654598708,0.948775914096762,0.98469269209595,0.903272733944685,0.914825069272866
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Coprococcus_1--__",0.307952317225908,-0.904950231991923,0.278147385577428,-0.971416318492719,0.906974624322469,-0.0386579686809809,0.961025367195332,-0.187470600182693,0.758484837943345,0.366743055607375,0.781233303891213,0.332713065093048,0.365742861928755,0.969210102597586,0.338017155155401,0.85153528460619,0.942180384632749,0.719903035081144,0.948574476450967,0.649096654598708,0.948775914096762,0.98469269209595,0.903272733944685,0.914825069272866
"d__Bacteria--p__Proteobacteria--c__Deltaproteobacteria",-0.491605739098615,-0.894001529118833,-0.352288414483068,-0.916656153428017,-0.085124733835542,-0.958199721098528,-0.239910617051441,-0.895242190860555,0.623614120015724,0.372555967406006,0.725053254089801,0.360613807457507,0.932265427178907,0.339372506459223,0.810712497692979,0.372036885298422,0.917245860079151,0.726826979356503,0.94312865289619,0.656529386387359,0.982120528283542,0.678745012918447,0.974817410519871,0.708917507976939
"d__Bacteria--p__Actinobacteria--c__Actinobacteria--o__Corynebacteriales--f__Nocardiaceae",-0.0616420237873459,-0.873193300046623,-0.150117661208301,-0.831862433469733,-0.27903594069961,-0.856235492805101,-0.324910380051215,-0.942746068016101,0.950918254493703,0.383761180553466,0.880847677913279,0.406646755512137,0.780566673070989,0.393116853782921,0.745681441537426,0.347268498050064,0.993059764925697,0.728917019895741,0.971593788948506,0.687427365075659,0.948775914096762,0.706277737304908,0.967645755779073,0.69210451681724
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Clostridiaceae_1--__",-0.754514404184099,-0.847762912662246,-1.05943916228364,-1.06928085568005,-1.00178740790249,-1.03828253363169,-0.871641909325294,-0.894761280408871,0.451554528798133,0.397734656673065,0.290885326686672,0.28645019816986,0.317913157456825,0.300666924933879,0.384734725471418,0.372293156704871,0.878882403567745,0.728917019895741,0.692804565910114,0.583925429640771,0.927489762121745,0.678099873255131,0.917647270504774,0.708917507976939
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Clostridiaceae_1--__--__",-0.754514404184099,-0.847762912662246,-1.05943916228364,-1.06928085568005,-1.00178740790249,-1.03828253363169,-0.871641909325294,-0.894761280408871,0.451554528798133,0.397734656673065,0.290885326686672,0.28645019816986,0.317913157456825,0.300666924933879,0.384734725471418,0.372293156704871,0.878882403567745,0.728917019895741,0.692804565910114,0.583925429640771,0.927489762121745,0.678099873255131,0.917647270504774,0.708917507976939
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales--f__Veillonellaceae--g__Megasphaera--s__uncultured_organism",-0.583809422293394,-0.831552395810222,-0.176040246154058,-0.477305158502119,0.581610292300561,0.151280664840272,0.500239800356522,0.115916997246481,0.560100262855816,0.406801343199471,0.86046941647251,0.633754315105545,0.561622942634761,0.879940246161908,0.617606695721499,0.907867407395913,0.913394274811023,0.735016063280862,0.969007959568826,0.778827597714816,0.948775914096762,0.96486462233529,0.942134803241546,0.958318744689662
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Ruminococcus_torques_group",-0.170433418803602,-0.800761322451833,-0.0727183566979194,-0.613084733822877,0.757591102124615,-0.18037406855896,-0.0927304107781531,-0.372463334184,0.864866174051823,0.42436186402897,0.942114733303629,0.54063487192906,0.449776391390325,0.857081604885409,0.92623596012069,0.710053431742363,0.993059764925697,0.736047223709346,0.981952969638908,0.777927100784802,0.948775914096762,0.95297884739007,0.974817410519871,0.871803055189465
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Ruminococcus_torques_group--__",-0.170433418803602,-0.800761322451833,-0.0727183566979194,-0.613084733822877,0.757591102124615,-0.18037406855896,-0.0927304107781531,-0.372463334184,0.864866174051823,0.42436186402897,0.942114733303629,0.54063487192906,0.449776391390325,0.857081604885409,0.92623596012069,0.710053431742363,0.993059764925697,0.736047223709346,0.981952969638908,0.777927100784802,0.948775914096762,0.95297884739007,0.974817410519871,0.871803055189465
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Lactobacillales--f__Lactobacillaceae--g__Lactobacillus--__",-0.334495781898124,-0.776940697813719,-0.34301805855904,-0.74947623176101,0.0417144199073191,-0.60812807331117,0.0418141587992805,-0.796616905276461,0.738406023127717,0.438248709480315,0.732003745742491,0.454600035734158,0.966776793021386,0.543943797343796,0.966699977049603,0.426884235903735,0.942180384632749,0.736047223709346,0.94312865289619,0.709830661881296,0.982120528283542,0.784475665170311,0.97901462643877,0.739985227664105
"d__Bacteria--p__Proteobacteria--c__Alphaproteobacteria--o__Rhizobiales",-1.26373377271321,-0.775251352569999,-1.17241701195565,-0.908123803191704,-1.27797903126874,-0.616835925504025,-1.13816327039973,-0.255697736492272,0.208006420306607,0.43924346583544,0.242650944436197,0.365090860310716,0.203051791887558,0.538198324736462,0.256786160721172,0.798521081710265,0.642194579199038,0.736047223709346,0.637162947746461,0.656529386387359,0.827826536156966,0.784475665170311,0.837768464465457,0.898417001000881
"d__Bacteria--p__Firmicutes--c__Erysipelotrichia--o__Erysipelotrichales--f__Erysipelotrichaceae--g__Clostridium_innocuum_group",-0.39765771374618,-0.772463717088021,-0.343286447756461,-0.814852359480919,-0.147241685045293,-0.731775625243378,0.0661721122908562,-0.533758205589638,0.691367148623955,0.440887797369289,0.731802204398477,0.416290232869971,0.883121021062868,0.465349913331993,0.9473249876977,0.594268559115944,0.942180384632749,0.736047223709346,0.94312865289619,0.689926523727296,0.978510399644571,0.745072747796388,0.974817410519871,0.800751702537585
"d__Bacteria--p__Firmicutes--c__Erysipelotrichia--o__Erysipelotrichales--f__Erysipelotrichaceae--g__Clostridium_innocuum_group--__",-0.39765771374618,-0.772463717088021,-0.343286447756461,-0.814852359480919,-0.147241685045293,-0.731775625243378,0.0661721122908562,-0.533758205589638,0.691367148623955,0.440887797369289,0.731802204398477,0.416290232869971,0.883121021062868,0.465349913331993,0.9473249876977,0.594268559115944,0.942180384632749,0.736047223709346,0.94312865289619,0.689926523727296,0.978510399644571,0.745072747796388,0.974817410519871,0.800751702537585
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Dorea",-0.798595151074241,-0.770427299409713,-1.04286926311719,-0.880827023596808,-0.790058719716541,-0.890119092625032,-0.535936153838058,-0.735965928971424,0.425607650663528,0.442091257007814,0.298472407326055,0.379647763955981,0.430627446165731,0.374705832020554,0.592761137570287,0.462856607007176,0.859973054413071,0.736047223709346,0.692804565910114,0.659715786546459,0.948775914096762,0.69312206661443,0.942134803241546,0.739985227664105
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Dorea--__",-0.798595151074241,-0.770427299409713,-1.04286926311719,-0.880827023596808,-0.790058719716541,-0.890119092625032,-0.535936153838058,-0.735965928971424,0.425607650663528,0.442091257007814,0.298472407326055,0.379647763955981,0.430627446165731,0.374705832020554,0.592761137570287,0.462856607007176,0.859973054413071,0.736047223709346,0.692804565910114,0.659715786546459,0.948775914096762,0.69312206661443,0.942134803241546,0.739985227664105
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Peptococcaceae",-0.0266333509285429,-0.762665139535479,-0.240878238933479,-1.01834423875796,-0.663359278376109,-1.05700351113371,-1.02464549637122,-1.35078912230908,0.978782519026417,0.446695803801795,0.809936376760485,0.309953005668229,0.508026210634556,0.292064486316664,0.307106648390268,0.178719057018156,0.993059764925697,0.739839925046723,0.948574476450967,0.619906011336458,0.948775914096762,0.672942735112028,0.903272733944685,0.563991477765849
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Lachnospira",-0.0379946604232564,-0.751542965740247,-0.261363995423689,-1.07620862636384,-0.204116569061759,-0.916693587649462,0.220729624246431,-0.311494245947636,0.969735246986732,0.453341263013759,0.794124519180109,0.283349992967951,0.838513950196931,0.360649267150569,0.825589751143046,0.755840804200935,0.993059764925697,0.743105781641111,0.948574476450967,0.583925429640771,0.962626123330773,0.690882331047476,0.974817410519871,0.877879091730846
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Lachnospira--__",-0.0379946604232564,-0.751542965740247,-0.261363995423689,-1.07620862636384,-0.204116569061759,-0.916693587649462,0.220729624246431,-0.311494245947636,0.969735246986732,0.453341263013759,0.794124519180109,0.283349992967951,0.838513950196931,0.360649267150569,0.825589751143046,0.755840804200935,0.993059764925697,0.743105781641111,0.948574476450967,0.583925429640771,0.962626123330773,0.690882331047476,0.974817410519871,0.877879091730846
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Ruminococcaceae--g__Ruminococcaceae_UCG-002",0.184163777983823,-0.742865000890723,0.274587185894844,-0.786719680929508,0.106551720308684,-0.837707138726815,-0.0732652458832174,-0.948107501037762,0.854098203623172,0.458565170995912,0.783962940165515,0.43253492127822,0.915274059512881,0.403414365045545,0.941688305500458,0.344541121493345,0.993059764925697,0.743998593758673,0.948574476450967,0.698921851691547,0.982120528283542,0.712698711580462,0.974817410519871,0.69210451681724
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Ruminococcaceae--g__Ruminococcaceae_UCG-002--__",0.184163777983823,-0.742865000890723,0.274587185894844,-0.786719680929508,0.106551720308684,-0.837707138726815,-0.0732652458832174,-0.948107501037762,0.854098203623172,0.458565170995912,0.783962940165515,0.43253492127822,0.915274059512881,0.403414365045545,0.941688305500458,0.344541121493345,0.993059764925697,0.743998593758673,0.948574476450967,0.698921851691547,0.982120528283542,0.712698711580462,0.974817410519871,0.69210451681724
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Tannerellaceae--g__Parabacteroides--__",-1.17276750980839,-0.710940098226526,-1.18944265285387,-0.785957893842537,-0.425562275265661,-0.436920467038636,-0.29045770787671,-0.249421772623408,0.242482944624275,0.478073257666525,0.235904895939279,0.432979889255455,0.670981378729158,0.662743766306182,0.771849408889259,0.803362658885129,0.690836932612639,0.753292133584511,0.637162947746461,0.698921851691547,0.948775914096762,0.870055866463553,0.967645755779073,0.898417001000881
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales",-0.513428237578974,-0.701605143835837,-1.24059151562276,-1.27430283095522,-0.53151640834415,-0.630280346420729,-0.513181884417706,-0.779999480909799,0.608299389894853,0.483862786642124,0.216446243111131,0.204285154667632,0.595775808878599,0.529388411430029,0.608545461415062,0.436573012508992,0.915335264728382,0.753292133584511,0.624334955169324,0.500996866296099,0.948775914096762,0.784475665170311,0.942134803241546,0.739985227664105
"d__Bacteria--p__Firmicutes--c__Clostridia",-0.513590765411762,-0.699986385341612,-1.24074831748931,-1.27281910831493,-0.53150519494542,-0.629133625381807,-0.513314547928995,-0.778992170205639,0.60818596626567,0.484870627815724,0.216388438072597,0.204810039680795,0.595783559836699,0.530136942337796,0.608452888878647,0.43716440802494,0.915335264728382,0.753292133584511,0.624334955169324,0.500996866296099,0.948775914096762,0.784475665170311,0.942134803241546,0.739985227664105
"d__Bacteria--p__Firmicutes--c__Erysipelotrichia--o__Erysipelotrichales--f__Erysipelotrichaceae--g__Holdemania",0.274027890428578,-0.684862217543731,0.0434986999262702,-0.828459175699581,0.246548078527361,-0.773774382553037,0.226382959994989,-1.30529953133398,0.784386369189077,0.494342144692706,0.965354457640056,0.408565320752514,0.805564455365175,0.440178182229109,0.821198048801683,0.193712785826186,0.966801803884211,0.753292133584511,0.989803132481259,0.687427365075659,0.948775914096762,0.744556712493918,0.974817410519871,0.565959207486402
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Sellimonas",-0.69713370153492,-0.679593553167406,-0.605802766365254,-0.745277504451195,-0.292376035046053,-0.565898747840058,-0.535917596740201,-0.871110686758475,0.486644190271662,0.497664937822947,0.545444320788689,0.457127120262542,0.770366449674473,0.572236095041672,0.592773932860779,0.385032304259689,0.903703808335603,0.753292133584511,0.914145098599753,0.709830661881296,0.948775914096762,0.787753585382042,0.942134803241546,0.711862050898728
"d__Bacteria--p__Proteobacteria--c__Alphaproteobacteria--o__Acetobacterales",-0.038565137026145,-0.672287904551352,-0.0918291330291647,-0.517975455136393,0.314362267143235,-0.606409369067091,0.469053517991197,-0.760807717004905,0.96928105709787,0.502292169529338,0.926940660206014,0.605144898138957,0.753643045406176,0.545081431889371,0.639682070850542,0.447920368358699,0.993059764925697,0.753292133584511,0.981873693573479,0.778827597714816,0.948775914096762,0.784475665170311,0.942134803241546,0.739985227664105
"d__Bacteria--p__Proteobacteria--c__Alphaproteobacteria--o__Acetobacterales--f__Acetobacteraceae",-0.038565137026145,-0.672287904551352,-0.0918291330291647,-0.517975455136393,0.314362267143235,-0.606409369067091,0.469053517991197,-0.760807717004905,0.96928105709787,0.502292169529338,0.926940660206014,0.605144898138957,0.753643045406176,0.545081431889371,0.639682070850542,0.447920368358699,0.993059764925697,0.753292133584511,0.981873693573479,0.778827597714816,0.948775914096762,0.784475665170311,0.942134803241546,0.739985227664105
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Sellimonas--__",-0.56151137256932,-0.666793569262371,-0.173635465956185,-0.508846904591565,-0.283102686422941,-0.666889704355832,-0.632833211129151,-1.02053188935434,0.575167351624228,0.505787221068271,0.862356140119427,0.611515454798127,0.777452990575332,0.505779760327947,0.527763212849574,0.309056306353419,0.915335264728382,0.753292133584511,0.969007959568826,0.778827597714816,0.948775914096762,0.773259441270611,0.942134803241546,0.67315003712594
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Tannerellaceae",-0.823283713358156,-0.665486624957326,-0.860303572195312,-0.718271851878717,-0.113952896767257,-0.243906161850506,-0.0605701605131012,-0.0573134645441813,0.411467177099905,0.50662049009686,0.390819299582827,0.473569907067881,0.909413671528557,0.80760834902514,0.951778572500733,0.95436883998025,0.859973054413071,0.753292133584511,0.767849669557555,0.717120144988505,0.982120528283542,0.94103852005273,0.974817410519871,0.978997713270063
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Christensenellaceae--g__Christensenellaceae_R-7_group--__",0.0915878251114059,-0.661630753272624,0.00865181389840296,-0.742770711309962,0.183408840788274,-0.505997029388591,0.047762199706071,-0.654130013855652,0.927130279226009,0.509083115420504,0.993106964064287,0.458639668725341,0.854702425429283,0.613538211285424,0.961966465368127,0.51399119658011,0.993059764925697,0.753292133584511,0.997373631844565,0.709830661881296,0.968084954061543,0.819107485377172,0.977500347123256,0.750485280044071
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales--f__Veillonellaceae--g__Megasphaera",-0.181868430273828,-0.652040536539309,0.237610198111194,-0.297616975349107,1.04573779379893,0.35825746119503,1.1023960568025,0.384698147647763,0.855896469277313,0.515235412039604,0.812466239165061,0.766356780562666,0.297211656312373,0.720611366986496,0.271976547957926,0.700985010001099,0.993059764925697,0.753292133584511,0.948574476450967,0.821339321731877,0.927489762121745,0.891651419072785,0.864885422506204,0.867366666071399
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Family_XIII--g__Family_XIII_AD3011_group",1.34354585550612,-0.645380606305985,1.69672955843862,-0.517368030132067,1.309067697065,-0.930324490545165,1.55565066019817,-0.719715358015318,0.180834828465346,0.51953067743412,0.0915567117117367,0.605567869839744,0.192331572792629,0.35357050012086,0.121804703802736,0.472777140667248,0.58679056583653,0.753292133584511,0.510302265752177,0.778827597714816,0.80475579142179,0.690882331047476,0.691676710879822,0.739985227664105
"d__Bacteria--p__Proteobacteria--c__Alphaproteobacteria--o__Rhizobiales--f__Beijerinckiaceae",-0.662912594105995,-0.643180570639347,-0.886540879237899,-0.728959710962849,-0.862732854187649,-0.518063908905186,-0.800391171268512,-0.3238714361537,0.508258734922636,0.520953656169069,0.376564004342978,0.467023513629443,0.389536585587788,0.605111870074185,0.424693673072402,0.746469171107073,0.903703808335603,0.753292133584511,0.757894641652322,0.710590800641928,0.948775914096762,0.811922256048907,0.922467638230702,0.877879091730846
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Bacillales",0.47110909814483,-0.638875506127144,0.533698224396066,-0.615879247045847,-0.221012230878847,-1.08552897761635,-0.75678766505255,-0.784720064329762,0.638149566145429,0.523744008556543,0.594239368237128,0.538793122989186,0.825356168293257,0.27928050457788,0.450311267001124,0.433807749945955,0.917245860079151,0.753292133584511,0.916503932531156,0.777927100784802,0.962626123330773,0.663026878237941,0.929863525365957,0.739985227664105
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--__",-0.52858427495645,-0.63145953524625,-0.679682677528324,-0.902325285242127,-0.685465027051066,-1.09889856802126,-0.446957523968007,-0.923012043295442,0.597763594839052,0.528568778523555,0.497619121326328,0.368153328924982,0.494012435041419,0.273422915237655,0.655521691171779,0.357426324304338,0.915335264728382,0.753292133584511,0.874594955524981,0.656529386387359,0.948775914096762,0.663026878237941,0.942134803241546,0.693058360541337
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--__--__",-0.52858427495645,-0.63145953524625,-0.679682677528324,-0.902325285242127,-0.685465027051066,-1.09889856802126,-0.446957523968007,-0.923012043295442,0.597763594839052,0.528568778523555,0.497619121326328,0.368153328924982,0.494012435041419,0.273422915237655,0.655521691171779,0.357426324304338,0.915335264728382,0.753292133584511,0.874594955524981,0.656529386387359,0.948775914096762,0.663026878237941,0.942134803241546,0.693058360541337
