"","model1_ASC","model1_DES","model2_ASC","model2_DES","model3_ASC","model3_DES","model4_ASC","model4_DES"
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales--f__Veillonellaceae--g__Megasphaera--s__uncultured_organism",0.560100262855816,0.406801343199471,0.86046941647251,0.633754315105545,0.561622942634761,0.879940246161908,0.617606695721499,0.907867407395913
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Tannerellaceae--g__Parabacteroides--__",0.242482944624275,0.478073257666525,0.235904895939279,0.432979889255455,0.670981378729158,0.662743766306182,0.771849408889259,0.803362658885129
"d__Bacteria--p__Verrucomicrobia",0.98657804687332,0.909527422448867,0.732555903350185,0.671776643911261,0.728452749953274,0.715633012561748,0.769896043573112,0.816485890846712
"d__Bacteria--p__Verrucomicrobia--c__Verrucomicrobiae",0.98657804687332,0.909527422448867,0.732555903350185,0.671776643911261,0.728452749953274,0.715633012561748,0.769896043573112,0.816485890846712
"d__Bacteria--p__Verrucomicrobia--c__Verrucomicrobiae--o__Verrucomicrobiales",0.98657804687332,0.908093937494123,0.732555903350185,0.670830166654963,0.728452749953274,0.71441839180048,0.769896043573112,0.815697312049188
"d__Bacteria--p__Verrucomicrobia--c__Verrucomicrobiae--o__Verrucomicrobiales--f__Akkermansiaceae",0.98657804687332,0.908093937494123,0.732555903350185,0.670830166654963,0.728452749953274,0.71441839180048,0.769896043573112,0.815697312049188
"d__Bacteria--p__Verrucomicrobia--c__Verrucomicrobiae--o__Verrucomicrobiales--f__Akkermansiaceae--g__Akkermansia",0.98657804687332,0.908093937494123,0.732555903350185,0.670830166654963,0.728452749953274,0.71441839180048,0.769896043573112,0.815697312049188
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Rikenellaceae",0.405724218513175,0.589351228343198,0.633055660501899,0.344430858479991,0.53497238609488,0.527909552771753,0.938611402580986,0.248564114909522
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales--f__Acidaminococcaceae--g__Phascolarctobacterium",0.417233884205736,0.179825164729768,0.344884892204584,0.122955123274741,0.473810215170806,0.210695472995058,0.327414351684211,0.238065222222639
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Rikenellaceae--g__Alistipes",0.624713535144244,0.357154115141361,0.870765796606806,0.194228278956495,0.689434922023829,0.37931479229496,0.883520061532897,0.158601827722128
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Rikenellaceae--g__Alistipes--__",0.629618538027781,0.364624094230926,0.875293329356626,0.198922698592918,0.697734932683802,0.391161970742017,0.877129679142198,0.164134882889378
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Xanthomonadales",0.804745737141817,0.0334193145763558,0.62419004461733,0.0523466016628459,0.972455041883904,0.103421160559619,0.457926070239993,0.159269750196818
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Peptostreptococcaceae--__",0.142304580474158,0.232968377555737,0.158038673968696,0.379053614768515,0.306107073290509,0.468858470583227,0.433630052109604,0.458985671902747
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Peptostreptococcaceae--__--__",0.142304580474158,0.232968377555737,0.158038673968696,0.379053614768515,0.306107073290509,0.468858470583227,0.433630052109604,0.458985671902747
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Pasteurellales--f__Pasteurellaceae--g__Haemophilus",0.298096892970686,0.000906862020581189,0.282159899243773,0.00177433636127278,0.314272768595808,0.00328444936443628,0.538183038952809,0.020445545287086
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Pasteurellales--f__Pasteurellaceae--g__Haemophilus--__",0.297851467358786,0.000899717674194045,0.281940508336041,0.0017618006470643,0.313736700033554,0.00325172501357969,0.537706737995828,0.0203209003153106
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Xanthomonadales--f__Rhodanobacteraceae",0.741621564075011,0.0358421399454162,0.565409296663628,0.0565670525236698,0.906461051904718,0.114568931583829,0.492345234010402,0.172101670426844
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Xanthomonadales--f__Rhodanobacteraceae--__",0.718780011121358,0.0294616451114981,0.543882424079039,0.045709139002524,0.921208317782057,0.0925975817444984,0.492675012627127,0.122022904622362
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Xanthomonadales--f__Rhodanobacteraceae--__--__",0.718780011121358,0.0294616451114981,0.543882424079039,0.045709139002524,0.921208317782057,0.0925975817444984,0.492675012627127,0.122022904622362
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--__",0.597763594839052,0.528568778523555,0.497619121326328,0.368153328924982,0.494012435041419,0.273422915237655,0.655521691171779,0.357426324304338
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--__--__",0.597763594839052,0.528568778523555,0.497619121326328,0.368153328924982,0.494012435041419,0.273422915237655,0.655521691171779,0.357426324304338
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--__--__--__",0.597763594839052,0.528568778523555,0.497619121326328,0.368153328924982,0.494012435041419,0.273422915237655,0.655521691171779,0.357426324304338
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--__--__--__--__",0.597763594839052,0.528568778523555,0.497619121326328,0.368153328924982,0.494012435041419,0.273422915237655,0.655521691171779,0.357426324304338
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Lachnoclostridium",0.348401589133613,0.211564007167784,0.206115480197301,0.135144903702041,0.188787176661346,0.141296580205844,0.206838379456106,0.14715223538333
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Lachnoclostridium--__",0.348401589133613,0.211564007167784,0.206115480197301,0.135144903702041,0.188787176661346,0.141296580205844,0.206838379456106,0.14715223538333
"d__Bacteria--p__Proteobacteria--c__Deltaproteobacteria",0.623614120015724,0.372555967406006,0.725053254089801,0.360613807457507,0.932265427178907,0.339372506459223,0.810712497692979,0.372036885298422
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Clostridiaceae_1--g__Clostridium_sensu_stricto_1",0.105577648548964,0.0828174969726016,0.12855522675119,0.0843660639302968,0.339278741397816,0.213361856270262,0.249217521770383,0.133165446027421
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Clostridiaceae_1--g__Clostridium_sensu_stricto_1--__",0.105577648548964,0.0828174969726016,0.12855522675119,0.0843660639302968,0.339278741397816,0.213361856270262,0.249217521770383,0.133165446027421
"d__Bacteria--p__Proteobacteria--c__Deltaproteobacteria--o__Desulfovibrionales",0.655372824224396,0.355930219726901,0.7782379392385,0.340578412765376,0.982521578450379,0.32157785832786,0.892930456775277,0.347122244095169
"d__Bacteria--p__Proteobacteria--c__Deltaproteobacteria--o__Desulfovibrionales--f__Desulfovibrionaceae",0.655372824224396,0.355930219726901,0.7782379392385,0.340578412765376,0.982521578450379,0.32157785832786,0.892930456775277,0.347122244095169
"d__Bacteria--p__Actinobacteria--c__Actinobacteria--o__Bifidobacteriales",0.162201724719189,0.860807867049915,0.119737748951446,0.774374650787254,0.122995274528821,0.910489173159666,0.248358085987856,0.731927583839967
"d__Bacteria--p__Actinobacteria--c__Actinobacteria--o__Bifidobacteriales--f__Bifidobacteriaceae",0.162201724719189,0.860807867049915,0.119737748951446,0.774374650787254,0.122995274528821,0.910489173159666,0.248358085987856,0.731927583839967
"d__Bacteria--p__Actinobacteria--c__Actinobacteria--o__Bifidobacteriales--f__Bifidobacteriaceae--g__Bifidobacterium",0.162273967512289,0.853682984478465,0.119518040560895,0.764563719064528,0.122667407894745,0.919151843869962,0.248903096343633,0.732685532394728
"d__Bacteria--p__Actinobacteria--c__Actinobacteria--o__Bifidobacteriales--f__Bifidobacteriaceae--g__Bifidobacterium--__",0.180186439616355,0.861052097147018,0.136932972158066,0.798845591063575,0.123420428244587,0.958392010804338,0.255799444649359,0.766794512833224
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Lactobacillales--f__Enterococcaceae",0.113735419317381,0.106495518452706,0.126587419133377,0.109483521300652,0.27257376729352,0.250975880210396,0.19837816601281,0.145250050780728
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Lactobacillales--f__Enterococcaceae--g__Enterococcus",0.104460402924477,0.106495518452706,0.116677018668468,0.109483521300652,0.254818146358159,0.250975880210396,0.187968648365849,0.145250050780728
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Lactobacillales--f__Enterococcaceae--g__Enterococcus--__",0.104460402924477,0.106495518452706,0.116677018668468,0.109483521300652,0.254818146358159,0.250975880210396,0.187968648365849,0.145250050780728
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales--f__Acidaminococcaceae--g__Phascolarctobacterium--s__Ruminococcus_sp._N15.MGS-57",0.515189487933495,0.834228650769297,0.497804047012647,0.913379082475048,0.332153193362984,0.690686213326101,0.591579157393102,0.722272204542612
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Clostridiaceae_1--__",0.451554528798133,0.397734656673065,0.290885326686672,0.28645019816986,0.317913157456825,0.300666924933879,0.384734725471418,0.372293156704871
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Clostridiaceae_1--__--__",0.451554528798133,0.397734656673065,0.290885326686672,0.28645019816986,0.317913157456825,0.300666924933879,0.384734725471418,0.372293156704871
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Eubacterium_hallii_group",0.395571337852768,0.0644845940837379,0.194662497461617,0.017342306022755,0.611420145938231,0.0783482402640987,0.612197819678832,0.129662114011298
