"","model1_ASC","model1_DES","model2_ASC","model2_DES","model3_ASC","model3_DES","model4_ASC","model4_DES"
"d__Bacteria--p__Fusobacteria--c__Fusobacteriia--o__Fusobacteriales--f__Fusobacteriaceae",0.349624897544012,0.287316709231375,0.316768267434683,0.283308048069393,0.406800620467252,0.435280454436762,0.614673180797379,0.513667533556779
"d__Bacteria--p__Fusobacteria--c__Fusobacteriia--o__Fusobacteriales--f__Fusobacteriaceae--g__Fusobacterium",0.349624897544012,0.287316709231375,0.316768267434683,0.283308048069393,0.406800620467252,0.435280454436762,0.614673180797379,0.513667533556779
"d__Bacteria--p__Actinobacteria--c__Actinobacteria",0.878882403567745,0.753292133584511,0.748155557939658,0.773183755411926,0.948775914096762,0.663026878237941,0.942134803241546,0.636181290822092
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Lactobacillales--f__Streptococcaceae",0.535344875328618,0.0634424310454139,0.624334955169324,0.0812384458312375,0.654128269696311,0.114513981036325,0.691676710879822,0.210065255489433
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Lactobacillales--f__Streptococcaceae--g__Streptococcus",0.535344875328618,0.0634424310454139,0.624334955169324,0.0812384458312375,0.654128269696311,0.114513981036325,0.691676710879822,0.210065255489433
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Lactobacillales--f__Streptococcaceae--g__Streptococcus--__",0.535344875328618,0.0634424310454139,0.624334955169324,0.0812384458312375,0.654128269696311,0.114513981036325,0.691676710879822,0.210065255489433
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Clostridiaceae_1",0.859973054413071,0.75580799319952,0.915954318248485,0.778827597714816,0.981303178787661,0.94103852005273,0.96152321288437,0.780296782341026
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales--f__Acidaminococcaceae",0.915335264728382,0.608373815714285,0.825488856017732,0.458399149423032,0.968084954061543,0.784475665170311,0.977500347123256,0.750485280044071
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales--f__Veillonellaceae--g__Megasphaera",0.993059764925697,0.753292133584511,0.948574476450967,0.821339321731877,0.927489762121745,0.891651419072785,0.864885422506204,0.867366666071399
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales--f__Veillonellaceae--g__Veillonella",0.993059764925697,0.435628407874985,0.948574476450967,0.500719298857681,0.948775914096762,0.663026878237941,0.974817410519871,0.609038399641487
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Ruminococcaceae--g__Subdoligranulum",0.942180384632749,0.67386270287209,0.916503932531156,0.583925429640771,0.982120528283542,0.784475665170311,0.967645755779073,0.85932442808089
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Ruminococcaceae--g__Subdoligranulum--__",0.942180384632749,0.677672048851179,0.916503932531156,0.583925429640771,0.982120528283542,0.784475665170311,0.967645755779073,0.864616316535737
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Roseburia",0.903703808335603,0.736047223709346,0.916503932531156,0.777927100784802,0.948775914096762,0.745072747796388,0.922467638230702,0.739985227664105
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Roseburia--__",0.903703808335603,0.736047223709346,0.916503932531156,0.777927100784802,0.948775914096762,0.745072747796388,0.922467638230702,0.739985227664105
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales--f__Veillonellaceae--g__Veillonella--__",0.993059764925697,0.423645592726942,0.948574476450967,0.49536688124211,0.948775914096762,0.663026878237941,0.974817410519871,0.587600541010002
"d__Bacteria--p__Fusobacteria--c__Fusobacteriia--o__Fusobacteriales--f__Fusobacteriaceae--g__Fusobacterium--__",0.279404543441816,0.287316709231375,0.29972930959692,0.329752815509122,0.406800620467252,0.482586920638509,0.536604665485784,0.519937898354433
"d__Bacteria--p__Firmicutes--c__Erysipelotrichia--o__Erysipelotrichales--f__Erysipelotrichaceae--g__Erysipelatoclostridium",0.814644892238888,0.542608095750538,0.819865763560114,0.555298502718641,0.948775914096762,0.663026878237941,0.903272733944685,0.563991477765849
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Betaproteobacteriales--f__Burkholderiaceae--g__Sutterella",0.349624897544012,0.0634424310454139,0.305749794542829,0.0453645112452467,0.36908425779482,0.0789854355910246,0.379900165647123,0.170795740602204
